Country;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;
Poland;1627;1560;1608;1618;1600;1689;1679;1753;;;
Portugal;2010;2340;2669;3823;4166;4368;4724;4781;;;
Puerto Rico;;;;;674;;;;;;
Qatar;;;;;;;;;;;
Romania;1038;862;854;883;879;905;737;828;;;
Russian Federation;3228;3231;3265;3140;3078;3078;3120;3096;;;
Rwanda;;;;10;12;;;;;;
Samoa;;;;;;;;;;;
San Marino;;;;;;;;;;;
Sao Tome and Principe;;;;;;;;;;;
Saudi Arabia;;;;;;;;;;;
Senegal;;260;275;370;;361;;;;;
Serbia;;;896;1022;1076;1139;1221;1235;;;
Seychelles;149;;;;;;;;;;
Sierra Leone;;;;;;;;;;;
Singapore;5292;5425;5769;5742;6150;6307;6494;6438;;;
Sint Maarten (Dutch part);;;;;;;;;;;
Slovak Republic;2026;2182;2285;2324;2450;2794;2817;2804;;;
Slovenia;2626;2915;3094;3460;3642;3750;4255;4398;;;
Solomon Islands;;;;;;;;;;;
Somalia;;;;;;;;;;;
South Africa;359;380;389;386;389;364;;;;;
South Sudan;;;;;;;;;;;
Spain;2529;2629;2745;2895;2924;2916;2800;2719;;;
Sri Lanka;;91;;96;;103;;;;;
St Kitts and Nevis;;;;;;;;;;;
St Lucia;;;;;;;;;;;
St Martin (French part);;;;;;;;;;;
St Vincent and the Grenadines;;;;;;;;;;;
Sudan;;;;;;;;;;;
Suriname;;;;;;;;;;;
Swaziland;;;;;;;;;;;
Sweden;6101;6131;5002;5438;5065;5256;5142;5181;;;
Switzerland;;;;3285;;;;;;;
Syrian Arab Republic;;;;;;;;;;;
Tajikistan;;;;;;;;;;;
Tanzania;;;;;;36;;;;;
Thailand;313;;324;;332;;;;;;
Timor-Leste;;;;;;;;;;;
Togo;34;24;37;;;35;;;;;
Tonga;;;;;;;;;;;
Trinidad and Tobago;;;;;;;;;;;
Tunisia;1458;1558;1781;1837;;;;;;;
Turkey;578;622;715;751;811;892;987;;;;
Turkmenistan;;;;;;;;;;;
Turks and Caicos Islands;;;;;;;;;;;
Tuvalu;;;;;;;;;;;
Uganda;;;;;;37;;;;;
Ukraine;;1467;1447;1419;1337;1321;1253;;;;
United Arab Emirates;;;;;;;;;;;
United Kingdom;4123;4190;4144;4108;4151;4134;4026;4024;;;
United States;3693;3755;3731;3884;4042;3838;3979;;;;
